id,本文,答え,補足説明1,補足説明2,補足説明3,補足説明4,補足説明5,サブ,サブ2,サブ3,サブ4,サブ5,サブ4_2
1,法令で規定されている保安規定に関する次の記述のうち[  ]の中の(イ)~(ホ)の語句のうち、誤っているものはいくつあるか。,2,一般ガス導管事業者は、[ (イ)保安業務の適正な実施を確保するため、 ]保安規定を定め、事業の[ (ロ)開始前 ]に、経済産業大臣に届け出なければならない。,また、一般ガス導管事業者は、保安規定を変更したときは、[ (ハ)遅滞なく ]、変更した事項を経済産業大臣に届け出なければならない。,経済産業大臣は、一般ガス導管事業の用に供するガス工作物に関する保安を確保するため必要があると認めるときは、一般ガス導管事業者に対し、[ (ニ)その使用を一時停止すべきこと ]を命ずることができる。,[ (ホ)一般ガス導管事業者及びその従業者 ]は、保安規定を守らなければならない。,,,,,,,
1,法令で規定されているガス主任技術者の選任及び解任に関する次の記述について、[  ]の中の(イ)~(ホ)の語句のうち、正しいものものはいくつあるか。,5,ガス小売事業者は、経済産業省令で定めるところにより、ガス主任技術者免状の交付を受けているものであって、経済産業省令で定める実務の経験を有するもののうちから、ガス主任技術者を選任しなければならない。,経済産業省令で定める実務の経験は、[(イ)甲]種ガス主任技術者免状の交付を受けているものにあっては製造又は供給の用に供するガス工作物の工事、維持又は運用に関する業務に[(ロ)通算]して[(ハ)1]年以上従事したこととし、当該経験と同等以上の実務経験であると[(ニ)経済産業大臣]が認定した経験をもって代えることができる。,[(ホ)ガス小売事業者に対し、ガス主任技術者の解任を命ずる。]ことができる。,,,,,,,,
1,法令で規定されている一般ガス導管事業者及びガス製造事業者の業務に関する次の記述のうち、正しいものはいくつあるか。,2,(イ)　一般ガス導管事業者は、その供給区域における託送供給に係る料金その他の供給条件について、託送供給約款を定め、経済産業大臣に届け出なければならない。,(ロ)　一般ガス導管事業者が定める託送供給約款においては、託送供給を行うことができるガスの熱量等の範囲、組成その他のガスの受入条件に関する事項を定めなければならない。,(ハ)　一般ガス導管事業者は、正当な理由がなければ、最終保障供給を拒んではならない。,(ニ)　ガス製造事業者は、毎年度、ガスの製造並びにガス工作物の設置及び運用について供給計画を作成し、当該年度の開始前に、経済産業大臣に届け出なければならない。,(ホ)　ガス製造事業者は、その製造するガスの圧力にあっては、常時、製造所の出口及び経済産業大臣が指定する場所において、圧力値を自動的に記録する圧力計を使用して測定しなければならない。,,,,,,
1,次のガス事故のうち、ガス事故速報を報告することが法令で規定されているものはいくつあるか。ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く。,4,(イ)　ガス工作物(ガス栓を除く。)の操作により人が死亡した事故,(ロ)　ガスの供給に支障を及ぼした事故であって、供給支障戸数が500以上のもの,(ハ)　工事中のガス工作物(ガス栓を除く。)の損壊により人が負傷した事故,(ニ)　ガス工作物(ガス栓を除く。)の損壊により、一般公衆に対し、交通の困難を招来した事故,(ホ)　ガス栓の欠陥によりガス栓から漏えいしたガスに引火することにより、発生した物損事故,,,,,,
1,凹凸形にプレスされた伝熱板をガスケットではさんで重ね合わせ、伝熱板の間を交互に2つの流体が流れるようにした構造の熱交換器は、次のうちどれか。,3,ブロック形熱交換器,ジャケット形熱交換器 ,プレート形熱交換器,二重管式熱交換器,単管式熱交換器,,,,,,
1,メタンと水素の体積比が4:1の混合ガスを空気比1で完全燃焼させたとき、乾き燃焼ガス中の二酸化炭素の濃度(vol%)として、最も近い値はどれか。ただし、空気中の窒素と酸素の体積比は4:1 とする。,2,8.5,11,25,31,100,,,,,,
1,内径 150 mm の直円管の中を平均流速 2m/sでガスが流れているとき、損失ヘッドが 0.3 m であった。この直円管の長さ(m) として、最も近い値はどれか。ただし、管摩擦係数は 0.03、重力加速度は 10 m/s とし、直円管内の流れは完全に発達した状態とする。,2,4.5,7.5,15,750,7500,,,,,,
1,"技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。ただし、3、4及び,5のガス工作物は、不活性のガス(空気を含む。)又は不活性の液化ガスのみを通ずるものではない。",3,(イ)　整圧器(一の使用者にガスを供給するためのものを除く。)は、公衆がみだりに操作しないよう、適切な措置を講じなければならない。,(ロ)　製造所(特定製造所を除く。)、供給所及び導管を管理する事業場には、緊急時に迅速な通信を確保するため、適切な通信設備を設けなければならない。,(ハ)　製造所に設置するガス若しくは液化ガスを通ずるガス工作物には、その規模に応じて、適切な防消火設備を適切な箇所に設けなければならない。,(ニ)　ガス又は液化ガスを通ずるガス工作物を設置する室(製造所及び供給所に存するものに限る。)は、これらのガス又は液化ガスが漏えいしたとき室外に流出しない構造でなければならない。,(ホ)　ガス発生設備及び附帯設備であって製造設備に属するもののガス又は液化ガスを通ずる部分は、ガス又は液化ガスを安全に放出できる構造でなければならない。,,,,,,
1,技術基準で規定されているガス工作物に関する次の記述について、[   ]の中の(イ)~(ホ)の語句のうち、誤っているものはいくつあるか。,1,告示で定める着脱が容易なガス栓は、内部に[(イ)過流出安全機構]を有するものでなければならない。,ガスの使用場所である超高層建物、高層建物又は特定大規模建物にガスを供給する導管には、危急の場合にガスを速やかに[(口)遮断]することができる適切な装置を適切な場所に設けなければならない。,ガス事業者がガスの使用者との取引のために使用するガスメーター(使用最大流量が毎時[(ハ)16㎡] 以下、使用最大圧力が4kPa以下及び口径 250 mm 以下のものに限る。)は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、[(二)過大]なガスの流量又は異常なガス圧力のは[(ホ)上昇]を検知した場合に、ガスを速やかに遮断する機能を有するものでなければならない。,,,,,,,,
1,法令で規定されているガス用品及び「特定ガス消費機器の設置工事の監督に関する法律」に関する次の記述について、[   ]の中の(イ)〜(ホ)の語句のうち、正しいものはいくつあるか。,5,「ガス用品」とは、主として一般消費者等がガスを消費する場合に用いられる機械、器具又は[(イ)材料]であって、政令で定めるものをいう。,ガス用品の製造、輸入又は販売の事業を行う者は、経済産業省令で定める基準適合表示が 付されているものでなければ、ガス用品を販売し、又は[(口)販売]の目的で陳列してはならない。,特定工事事業者は、特定工事を施工するときは、特定工事が消費機器の技術上の基準に適合することを確保するため、[(ハ)ガス消費機器設置工事監督者]の資格を有する者に[(ニ)実地に監督]をさせなければならない。,特定工事事業者は、特定工事を施工したときは、当該特定工事に係る特定ガス消費機器の見やすい場所に、氏名又は名称、[(ホ)施工年月日]その他の経済産業省令で定める事項を記載した表示を付さなければならない。,,,,,,,
1,可燃性ガスの爆発に関する次の記述のうち、誤っているものはどれか。,2,爆発反応は、光や音、あるいは衝撃的圧力を伴う。,爆発現象は爆燃、爆ごうに分類され、燃焼反応領域の伝播速度が、爆燃は超音速、爆ごうは亜音速である。,爆発反応は、可燃性ガスと空気が適当な濃度範囲で混合され、かつ外部から何らかの方法でエネルギーが与えられることにより起こりうる。,爆ごうを起こしうる可燃性ガスの濃度範囲を爆ごう範囲といい、爆発範囲の内側にある。,爆ごうは衝撃波を伴う現象である。,,,,,,
1,技術基準で規定されている導管及び整圧器に関する次の記述のうち、正しいものはいくつあるか。,4,(イ)　ガス事業者の掘削により周囲が露出することとなった導管の露出している部分の両端は、地くずれのおそれがない地中に支持されていなければならない。,(ロ)　ガス事業者の掘削により周囲が露出することとなったガスの供給の用に供されている導管で、露出している管の接合部がフランジ接合のものには、抜出しを防止する適切な措置を講じなければならない。,(ハ)　最高使用圧力が高圧の整圧器には、ガスの漏えいによる火災等の発生を防止するための適切な措置を講じなければならない。,(ニ)　整圧器の入口には、ガス遮断装置を設けなければならない。,(ホ)　整圧器の制御用配管、補助整圧器その他の附属設備は、地震に対し耐えるよう支持されていなければならない。,,,,,,
1,気体の圧縮係数に関する次の記述のうち、誤っているものはどれか。,1,圧縮係数は圧縮比と同じである。,圧縮係数は換算温度と換算圧力の関数である。,圧縮係数は、理想気体の法則を修正し、実在気体を取り扱うための補正係数である。,1 molあたりで比較すると、圧縮係数が1より大きい気体の圧力は、同じ温度、同じ体積の理想気体の圧力より大きくなる。,1molあたりで比較すると、圧縮係数が1より小さい気体の体積は、同じ温度、同じ圧力の理想気体の体積より小さくなる。,,,,,,
1,エントロピーに関する次の記述のうち、誤っているものはどれか。,5,系がある状態から別の状態に移るときのエントロピー変化量は、途中の経路にはよらない。,エントロピーの次元は[エネルギー]/[温度]である。,理想気体では、定圧条件において温度を上昇させるとエントロピーは増加する。,孤立系の不可逆過程において、エントロピーは常に増大する。,等温、定圧で2種の理想気体を混合するとき、エントロピーは減少する。,,,,,,
1,容積一定の容器に入った空気 300 kg を、都市ガスの燃焼により温度 300 K から 900 K に外部から加熱した。このとき、燃焼に使用した都市ガスの体積(㎥)として、最も近い値はどれか。ただし、都市ガスは標準状態(0°C、101325 Pa) とし、空気の定積比熱容量を 0.7 kJ/(kg・K)、都市ガスの発熱量を 45 MJ/㎥、熱効率を 70 % とする。,4,1.5,2,3.2,4,4.5,,,,,,
1,ピトー管を用いて気体の流速を測定したところ、ピトー管につないだマノメーターの液面高さの差は 13 mm であった。気体の密度は 1.04 kg/m2、マノメーター内の液体の密度は 800kg/m2であるとき、気体の流速(m/s)として、最も近い値はどれか。ただし、重力加速度は 10 m/s とする。,4,4,10,12,14,20,,,,,,
2,容積 20 ㎥ の容器に、温度 27 °C で、窒素と水素が総量で40kg 入っている。この混合気体において圧力が0.3 MPa であるとき、体積基準での水素の割合(%)として、最も近い値はどれか。ただし、気体は理想気体とし、気体定数は8.3 J/(mol・K)とする。,5,22,28,33,38,44,,,,,,
2,気体のメタンとプロパンを体積比1:1で混合したガス1 mol を完全燃焼したときに発生する熱(J)として、最も近い値はどれか。ただし、燃焼に関わる物質の標準生成熱(kJ/mol)は以下のとおりとし、(g) は気体状態を、(1) は液体状態を示す。,3,900,1200,1600,2400,3200,,,,,,
2,メタン及び水素が完全燃焼する反応(気体状態)の標準反応熱を、それぞれ -801kJ/mol、-242kJ/mol とするとき、以下に示す反応の標準反応熱(kJ/mol) として、最も近い値はどれか。ただし、(g)は気体状態を示す。,3,-559,-167,167,559,1043,,,,,,
2,メタン 80 vol%、エタン 12 vol%、プロパン 8 vol% からなる混合ガスの空気中における燃焼下限界(vol%)として、最も近い値はどれか。ただし、同条件における単体ガスの燃焼下限界は、メタン 5 vol%、エタン 3 vol%、プロパン 2 vol% とする。,1,4.2,4.3,4.4,4.5,4.6,,,,,,
2,厚さ 50 mm、熱伝導率 1.2 W/(m・K)のコンクリート壁に囲まれた部屋がある。この壁と室内空気との間の熱伝達率が 10 W/(m・K)、壁と外気との間の熱伝達率が 25 W/(m・K)で あるとき、コンクリート壁の熱通過率(W/(m・K))として、最も近い値はどれか。,5,0.02,0.04,0.23,2.5,5.5,,,,,,
2,消費機器の技術上の基準で規定されている次の記述のうち、誤っているものはいくつあるか。,2,(イ)　屋内に設置するガスの消費量が 12kW を超えるガス衣類乾燥機には、排気筒を設けなければならない。ただし、当該燃焼器の構造上その他の理由によりこれによることが困難な場合において、当該燃焼器のための排気フードを設けるときは、この限りでない。,(ロ)　自然排気式の燃焼器の排気筒の天井裏、床裏等にある部分は、燃焼器出口の排気ガスの温度が100°Cを超える場合は、金属材料で覆わなければならない。,(ハ)　自然排気式の燃焼器であって、技術上の基準により排気筒を設けるものは、当該排気筒の有効断面積以上の有効断面積を有する給気口その他給気上有効な開口部を設けた室に設置しなければならない。,(ニ)　屋内に設置する密閉燃焼式ガスふろがまの給排気部の先端は、障害物又は外気の流れによって給排気が妨げられない位置になければならない。,(ホ)　建物区分のうち高層建物(住居の用に供される部分については、調理室に限る。)に設置される燃焼器(屋外に設置するものを除く。)には、自動ガス遮断装置を適切に設け、又は告示で定める規格に適合するガス漏れ警報器を告示で定める方法により設けなければならない。,,,,,,
2,熱硬化性樹脂に関する次の記述について、[   ]の中の(イ)〜(ニ)にあてはまる語句の組合せとして最も適切なものはどれか。,1,(イ)硬化剤 (ロ)不可逆的 (ハ)一回しか行えない (ニ)エポキシ樹脂,(イ)硬化剤 (ロ)不可逆的 (ハ)一回しか行えない (ニ)ポリエチレン樹脂,(イ)硬化剤 (ロ)可逆的 (ハ)何回も行える (ニ)エポキシ樹脂,(イ)可塑剤 (ロ)可逆的 (ハ)何回も行える (ニ)エポキシ樹脂,(イ)可塑剤 (ロ)可逆的 (ハ)何回も行える (ニ)ポリエチレン樹脂,熱硬化性樹脂は、[ (イ) ]あるいは架橋剤によって分子同士が三次元的に結合した樹脂であり、加熱によってさらに三次元化が進み、不溶、不融となる性質を有する。反応は[ (ロ) ]であり、一般に成形は[ (ハ) ]。用途としては、[ (ニ) ]等が配管等の内面コーティング、ライニングの材料として多用されている。,,,,,
2,材料の特性と力学的性質に関する次の記述のうち、誤っているものはどれか。,5,クリープは、一定応力の下で時間とともにひずみが増加する現象である。,引張応力は、力に比例し、原断面積に反比例する。,炭素鋼は、一般に 450 °C 以上では強度が著しく低下する。,アルミニウム合金は、低温用材料として用いることができる。,フェライト鋼のような体心立方晶の金属には、低温ぜい性は認められない。,,,,,,
2,ガス製造所における保安電源に関する次の記述のうち、誤っているものはいくつあるか。,4,(イ)　非常用発電設備の容量選定にあたっては、起動する電動機の起動電流が大きく影響するため、負荷の積み上げ合計値よりも十分大きい定格容量のものが必要になる。,(ロ)　非常用発電設備は、停電時に短時間で起動する必要があることから、原動機にディーゼル機関やガスタービンを用いることはできない。,(ハ)　直流電源装置は、交流を出力する無停電電源装置(UPS)に比べ複雑な回路構成となる。,(ニ)　停電時、UPSでは、蓄電池の放電により整流部を経由して交流出力される。,(ホ)　常用発電設備は、電気事業法の「発電所」には該当しない。,,,,,,
2,ガスの熱量・比重の測定に関する次の記述のうち、誤っているものはいくつあるか。,4,(イ)　ガス事業法では、ガスの熱量はガスクロマトグラフ法によって得られた成分組成から計算によって求める方法と、ブンゼン - シリング法によって測定する方法が規定されている。,(ロ)　ガスクロマトグラフにおいて、試料ガスの各成分の移動速度は、カラム中の固定相に対する溶解性や吸着性が強いほど速くなる。,(ハ)　ガスクロマトグラフの水素炎イオン化検出器(FID)、無機化合物、有機化合物のいずれも検出できるが、一般に熱伝導度検出器(TCD)より感度が低い。,(ニ)　ガスクロマトグラフでは、クロマトグラムのそれぞれのピークの面積を、同一条件下で得られるキャリアガスのピーク面積と比較し、各成分を定量する。,(ホ)　ガス比重とは、同一温度及び同一圧力における等しい体積のガスと乾燥空気の質量の比と定義される。,,,,,,
2,都市ガスの付臭に関する次の記述のうち、誤っているものはいくつあるか。,3,(イ)　付臭剤は、一般に存在するにおい(生活臭)とは明瞭に区別でき、ドキッとさせるインパクトを持った警告臭であり、極めて低い濃度でも特有の臭気が認められる必要がある。,(ロ)　臭気濃度とは、試料ガスを無臭の不活性ガスで徐々に希釈していった場合に、感知できる最大の希釈倍数をいう。,(ハ)　ジメチルサルファイド(DMS)は、比較的土壌透過性が高く、一般に単独で使用される。,(ニ)　液体注入方式の1つであるポンプ注入方式は、小容量のダイヤフラムポンプ等により付臭剤を注入する方式で、ガス量の変動に対応してポンプの吐出バルブの開度を変化させ、ガス中の付臭剤濃度を常に一定に保つことができる。,(ホ)　パネル法は、あらかじめ適正に選定された臭気の判定者4名以上により、においの有無を判定し、ガスの臭気濃度を求める方法である。,,,,,,
2,家庭用ガス機器に関する次の記述のうち、正しいものはいくつあるか。,3,(イ)　オーブンでは、主に放射伝熱により調理が行われる。,(ロ)　Siセンサーコンロ」の標準搭載機能は、調理油過熱防止装置、立ち消え安全装置、消し忘れ消火機能、早切れ防止機能である。,(ハ)　ファンヒーターのメインバーナーには、主に全一次空気燃焼式が用いられている。,(ニ)　気密性が高い部屋でFF暖房機を長時間使用しても、酸欠による事故は起きにくい。,(ホ)　回転ドラム式衣類乾燥機は、空気で希釈された燃焼排ガスにより、ドラムの中の洗濯物を直接乾燥させるものである。,,,,,,
2,製造設備の地震対策に関する次の記述について、[  ]の中の(イ)〜(ニ)に当てはまる語句の組合せとして最も適切なものはどれか。,1,(イ)被害 (ロ)重要度 (ハ)二次災害 (ニ)保安を確保する,(イ)被害 (ロ)形状 (ハ)設備の緊急停止 (ニ)ガス送出を継続する,(イ)設備の変形 (ロ)重要度 (ハ)設備の緊急停止 (ニ)ガス送出を継続する,(イ)設備の変形 (ロ)形状 (ハ)設備の緊急停止 (ニ)保安を確保する,(イ)被害 (ロ)重要度 (ハ)二次災害 (ニ)ガス送出を継続する,地震対策は、① 設備対策、② 緊急対策、③ 復旧対策で構成される。,① 設備対策は、地震による[ (イ) ]を防ぐため、設備の[ (ロ) ]に応じた耐震設計を行い、耐震性能の維持を図るため定期的な維持管理を行うことが基本である。,② 緊急対策は、地震発生時の[ (ハ) ]を防止し、[ (ニ) ]ことが基本である。,③ 旧対策は、緊急措置を講じた後、速やかに被災設備の復旧を図ることを目的とする。,,
2,以下の表は、主なガスメーターの種類ごとの一般的な特徴を示している。3つの特徴をすべて正しく表しているガスメーターの種類はいくつあるか。,2,,,,,,,,,,,
2,A点からB点にガスを 200 m2/h 供給している低圧導管 AB(口径 20 cm、延長 200 m)がある。このとき、A点の圧力 PA は 2.3 kPa、B点の圧力 Ps は 2.1 kPa であった。,4,1.5,1.6,1.7,1.8,1.9,,今、図2のように AB間の中間点(A点から100m)のC点にもガスを200m/h供給することになった。A点の圧力PAが2.3kPaのとき、B点の圧力Pa(kPa)として最も近い値はどれか。ただし、高低差は考慮しないものとする。,,,,
3,製造設備の保全に関する次の記述のうち、誤っているものはいくつあるか。,3,(イ)　エロージョンコロージョンとは、腐食性流体が高流速である場合等、流体の衝突や摩擦等により金属表面から腐食生成物が除去され続け、腐食速度が大きくなる現象をいう。,(ロ)　ステンレス鋼のすきま腐食の原因として、すきま内に塩化物イオンが蓄積するとともに、pH が上昇して不動態が破壊され、すきまの外の部分との間に腐食電池を形成することがあげられる。,(ハ)　粒界腐食とは、金属や合金の粒界又は粒界に沿った狭い部分が優先的に腐食する現象であり、ステンレス鋼がある種の熱影響を受けた後であれば、腐食環境にさらされていなくとも生ずる。,(ニ)　放射線透過試験(RT)は、欠陥の形状をフィルム上に投影された像として見ることができるので、わかりやすくて直観性がある。,(ホ)　超音波探傷試験は、割れのような平面欠陥の検出に適しており、検査できる厚さは他の方法よりも薄い。,,,,,,
3,環境対策及び省エネルギーに関する次の記述のうち、誤っているものはいくつあるか。,1,(イ)　サーマルノックス(Thermal NOx)を抑制する方法として、燃焼炉内に水又は蒸気を直接吹き込み燃焼温度を下げる方法がある。,(ロ)　LNG基地におけるエネルギー使用の合理化に有効な施策として、LNG冷熱利用設備、圧力回収設備、工場温排水利用設備の導入による未利用エネルギーの活用が挙げられる。,(ハ)　モーターのようなコイル要素を持った負荷を運転する場合は、電圧に比べ電流が遅れた波形になるので、進相コンデンサを用いて力率を1に近づけることが省エネルギー上有効である。,(ニ)　液-ガス熱量調整方式は高温熱源を活用するため、プラントの高効率化に資するものである。,(ホ)　空気液化分離において寒冷発生サイクルにLNGの冷熱を直接利用することで、冷凍機等の建設コストの低減が図れる。,,,,,,
3,整圧器に関する次の記述のうち、誤っているものはいくつあるか。,4,(イ)　直動式整圧器は、二次圧力を駆動圧力としているため、作動最小差圧を考慮する必要がある。,(ロ)　分解点検完了後は、ピーク時間帯の作動状況を調べ、異常の無いことを確認することが望ましい。,(ハ)　負荷変動が急激、かつ、大きい一の使用者にガスを供給する整圧器には、静特性に優れた整圧器を選定する。,(ニ)　整圧器の特性として、オフセット及びロックアップは静特性であり、安定性及びシフトは動特性である。,(ホ)　高圧整圧器の付属設備であるラインヒーターは、熱効率のよさ、設置面積の小ささ等の点から一般に整圧器の二次側に設置される。,,,,,,
3,外径200 mm、管厚5mmの導管が内圧 1MPaを受けるときに生じる軸方向の応力(N/㎟)として最も近い値はどれか。,2,(1)　5.0,(2)　9.5,(3)　10.0,(4)　19.0,(5)　20.0,,,,,,
3,導管の工事に関する次の記述のうち、誤っているものはいくつあるか。,2,(イ)　ポリエチレン管の接合方法の1つであるヒートフュージョン接合において、接合面のインジケーターの高さ、幅等により接合後の融着状態を確認した。,(ロ)　架管の施工において、橋台等の壁貫通部にスリーブを設け、スリーブとガス管の隙間には弾力性のあるシール材を隙間なく充てんした。,(ハ)　中圧導管の連絡工事にあたり、整圧器を操作して減圧作業を行った。,(ニ)　エアパージ作業として、気密試験完了後に管内の空気又は不活性ガスを供給ガスに置換した。,(ホ)　道路舗装の復旧範囲について、道路交通法に基づき、所轄の警察署と協議した。,,,,,,
3,溶接と非破壊試験に関する次の記述のうち、正しいものはいくつあるか。,1,(イ)　被覆アーク溶接は、溶接設備が安価であるが、溶接姿勢に制限を受ける。,(ロ)　ティグ溶接は、溶加材を電極とし、不活性ガスでアーク及び溶融池を完全にシールドしているため、不純物が混入せず、高品質な溶接が得られる。,(ハ)　溶接部の構造上の欠陥として、溶込み不良、融合不良、ブローホール、アンダーカット等のきずがある。,(ニ)　放射線透過試験の二重壁片面撮影法は、主に大口径管の場合に用いられる。,(ホ)　超音波探傷試験は、超音波が物質の端面や違う物質に当たると吸収される性質を利用し、内部のきずの存在や位置・大きさを検知する方法である。,,,,,,
3,導管の維持管理に関する次の記述のうち、正しいものはいくつあるか。,3,(イ)　接触燃焼式ガス検知器(識別型ガス検知器)は、ガス中の可燃性ガス濃度を検知することができ、メタンの識別も可能である。,(ロ)　他工事の巡回及び立会業務に従事する者に対しては、防護基準類、各種要領、保安規程等についての教育及び訓練等を実施し、事故防止に努める。,(ハ)　敷地内の他工事対策の1つとして、ガス設備の資産区分、解体、改装時の注意事項等を記載したチラシ等を配付し需要家への注意喚起を図る。,(ニ)　溶接スリーブ工法とは、高圧導管が損傷又は貫通に至った場合に、恒久的な修理を行う前の応急処置である。,(ホ)　サンドブラストによる供給支障は、低圧導管のみに発生する。,,,,,,
3,地震対策に関する次の記述のうち、正しいものはいくつあるか。,3,(イ)　高圧導管のレベル2地震動(ガス導管の供用期間中に発生する確率は低いが、非常に強い地震動)に対する許容ひずみは、3.0%である。,(ロ)　マイコンメーターには、ガスメーターの設置場所において 200 ガルの地震動を瞬間的に検知した場合に遮断する機能がある。,(ハ)　SI値は、地震による一般的な建物の揺れの大きさを評価する指標であり、速度の単位カイン(cm/s) で表わされる。,(ニ)　第1次緊急停止判断の供給停止判断基準値は、供給継続地区の想定被害数が緊急時対応能力の範囲内に収まるように、あらかじめ設定する。,(ホ)　移動式ガス発生設備のうち、空気吸入式(PA式)は、ボンベに圧縮・充てんされた熱量調整・付臭済みの天然ガスを供給するものである。,,,,,,
3,ガスの性質及び燃焼に関する次の記述のうち、正しいものはいくつあるか。,4,(イ)　燃焼過程において発生した熱は、放射や伝導等により周壁や受熱面に伝わって失われるため、理論火炎温度は実際の火炎温度より低い。,(ロ)　メタンと空気との混合ガスの燃焼範囲は、大気圧、室温の環境においてメタン濃度5〜15%である。,(ハ)　不活性ガスを可燃性ガスに混入していくと、燃焼範囲は狭くなる。,(ニ)　ガスが燃焼して発生した熱量のうち、目的以外の物質の加熱に使われたり、排気とともに大気中に逃げてしまった熱量を損失熱量という。,(ホ)　乾き燃焼排ガス量とは、湿り燃焼排ガス量から、燃焼により生成された水(水蒸気)及び燃焼に使われた空気中の湿分を除いたものである。,,,,,,
3,ガスの燃焼及び熱量調整に関する次の記述のうち、正しいものはいくつあるか。,5,(イ)　バーナーの炎口負荷は、インプットに比例し、バーナーの炎口面積に反比例する。,(ロ)　ユニバーサルバーナーは、燃焼速度の異なるガスに対応するために、炎口負荷の適正範囲が広く設計されている。,(ハ)　熱量調整前後においてインプットを一定にするためには、ウォッベ指数やガス圧力に応じてガス機器のノズル口径を変更する必要がある。,(ニ)　ブンゼンバーナーでは、ウォッベ指数が低下した場合、フラッシュバックしやすくなる。,(ホ)　現在は、国内すべての都市ガス事業者において、一酸化炭素を含まないガスへの燃料転換が完了している。,,,,,,
3,家庭用ガス温水機器及びそれに使われる技術に関する次の記述のうち、正しいものはいくつあるか。,4,(イ)　潜熱回収型温水機器の排気温度は、従来型温水機器の排気温度に比べて低い。,(ロ)　現在販売されている開放式小型湯沸器には、10万回を超える使用を知らせるタイムスタンプ機能が搭載されている。,(ハ)　バーナーの低NOx化技術は、ブンゼンバーナーの空気過剰率を低くすると火炎温度が高くなり、NOx濃度が低下する現象を利用している。,(ニ)　給湯器の「Q機能」は、再出湯時の冷水サンドイッチ現象を防止する機能である。,(ホ)　2缶3水の給湯暖房用熱源機には、燃焼により加熱される2つの熱交換器のほかに、温水により加熱される熱交換器が備わっている。,,,,,,
